Date,PX_LAST
3/29/2024,15855
2/29/2024,15715
1/31/2024,15780
12/29/2023,15397
11/30/2023,15510
10/31/2023,15885
9/29/2023,15455
8/31/2023,15230
7/31/2023,15080
6/30/2023,14993
5/31/2023,14993
4/28/2023,14670
3/31/2023,14995
2/28/2023,15250
1/31/2023,14990
12/30/2022,15568
11/30/2022,15732
10/31/2022,15598
9/30/2022,15228
8/31/2022,14843
7/29/2022,14833
6/30/2022,14898
5/31/2022,14583
4/29/2022,14497
3/31/2022,14369
2/28/2022,14367
1/31/2022,14383
12/31/2021,14253
11/30/2021,14323
10/29/2021,14168
9/30/2021,14313
8/31/2021,14268
7/30/2021,14463
6/30/2021,14500
5/31/2021,14280
4/30/2021,14445
3/31/2021,14525
2/26/2021,14235
1/29/2021,14030
12/31/2020,14050
11/30/2020,14120
10/30/2020,14625
9/30/2020,14880
8/31/2020,14563
7/31/2020,14600
6/30/2020,14265
5/29/2020,14610
4/30/2020,14882
3/31/2020,16310
2/28/2020,14318
1/31/2020,13655
12/31/2019,13866
11/29/2019,14108
10/31/2019,14041
9/30/2019,14195
8/30/2019,14191
7/31/2019,14022
6/28/2019,14128
5/31/2019,14273
4/30/2019,14259
3/29/2019,14241
2/28/2019,14069
1/31/2019,13973
12/31/2018,14390
11/30/2018,14302
10/31/2018,15203
9/28/2018,14903
8/31/2018,14730
7/31/2018,14420
6/29/2018,14330
5/31/2018,13894
4/30/2018,13913
3/30/2018,13768
2/28/2018,13745
1/31/2018,13389
12/29/2017,13568
11/30/2017,13526
10/31/2017,13563
9/29/2017,13472
8/31/2017,13342
7/31/2017,13325
6/30/2017,13328
5/31/2017,13323
4/28/2017,13329
3/31/2017,13326
2/28/2017,13336
1/31/2017,13352
12/30/2016,13473
11/30/2016,13553
10/31/2016,13048
9/30/2016,13051
8/31/2016,13265
7/29/2016,13099
6/30/2016,13220
5/31/2016,13658
4/29/2016,13197
3/31/2016,13260
2/29/2016,13376
1/29/2016,13776
12/31/2015,13788
11/30/2015,13841
10/30/2015,13695
9/30/2015,14651
8/31/2015,14053
7/31/2015,13531
6/30/2015,13333
5/29/2015,13225
4/30/2015,12964
3/31/2015,13075
2/27/2015,12928
1/30/2015,12670
12/31/2014,12385
11/28/2014,12203
10/31/2014,12085
9/30/2014,12183
8/29/2014,11694
7/31/2014,11580
6/30/2014,11855
5/30/2014,11675
4/30/2014,11562
3/31/2014,11360
2/28/2014,11609
1/31/2014,12210
12/31/2013,12170
11/29/2013,11963
10/31/2013,11273
9/30/2013,11580
8/30/2013,10920
7/31/2013,10278
6/28/2013,9925
5/31/2013,9795
4/30/2013,9723
3/29/2013,9715
2/28/2013,9664
1/31/2013,9740
12/31/2012,9638
11/30/2012,9594
10/31/2012,9608
9/28/2012,9589
8/31/2012,9581
7/31/2012,9439
6/29/2012,9430
5/31/2012,9400
4/30/2012,9189
3/30/2012,9165
2/29/2012,9074
1/31/2012,8995
12/30/2011,9067
11/30/2011,9138
10/31/2011,8853
9/30/2011,8790
8/31/2011,8534
7/29/2011,8498
6/30/2011,8577
5/31/2011,8537
4/29/2011,8575
3/31/2011,8710
2/28/2011,8823
1/31/2011,9050
12/31/2010,9013
11/30/2010,9017
10/29/2010,8940
9/30/2010,8928
8/31/2010,9045
7/30/2010,8949
6/30/2010,9074
5/31/2010,9175
4/30/2010,9010
3/31/2010,9100
2/26/2010,9343
1/29/2010,9353
12/31/2009,9404
11/30/2009,9461
10/30/2009,9585
9/30/2009,9665
8/31/2009,10105
7/31/2009,9928
6/30/2009,10208
5/29/2009,10295
4/30/2009,10625
3/31/2009,11700
2/27/2009,12000
1/30/2009,11375
12/31/2008,11120
11/28/2008,12360
10/31/2008,11050
9/30/2008,9506
8/29/2008,9153
7/31/2008,9098
6/30/2008,9228
5/30/2008,9315
4/30/2008,9232
3/31/2008,9229
2/29/2008,9071
1/31/2008,9267
12/31/2007,9393
11/30/2007,9372
10/31/2007,9099
9/28/2007,9150
8/31/2007,9395
7/31/2007,9189
6/29/2007,9045
5/31/2007,8835
4/30/2007,9085
3/30/2007,9136
2/28/2007,9153
1/31/2007,9097
12/29/2006,8995
11/30/2006,9169
10/31/2006,9115
9/29/2006,9223
8/31/2006,9111
7/31/2006,9073
6/30/2006,9263
5/31/2006,9255
4/28/2006,8785
3/31/2006,9070
2/28/2006,9183
1/31/2006,9370
12/30/2005,9830
11/30/2005,10025
10/31/2005,10123
9/30/2005,10300
8/31/2005,10300
7/29/2005,9805
6/30/2005,9760
5/31/2005,9518
4/29/2005,9570
3/31/2005,9465
2/28/2005,9285
1/31/2005,9161
12/31/2004,9270
11/30/2004,9000
10/29/2004,9088
9/30/2004,9155
8/31/2004,9370
7/30/2004,9130
6/30/2004,9400
5/31/2004,9268
4/30/2004,8705
3/31/2004,8564
2/27/2004,8453
1/30/2004,8457
12/31/2003,8420
11/28/2003,8505
10/31/2003,8497
9/30/2003,8395
8/29/2003,8485
7/31/2003,8510
6/30/2003,8275
5/30/2003,8310
4/30/2003,8675
3/31/2003,8902
2/28/2003,8884
1/31/2003,8870
