Segments,Product,Code,Tenor,Bucket
Channeling,AKL,109,1,1
Channeling,AKL,109,1,2
Channeling,AKL,109,1,3
Channeling,AKL,109,1,4
Channeling,AKL,109,1,5
Channeling,AKL,109,3,1
Channeling,AKL,109,3,2
Channeling,AKL,109,3,3
Channeling,AKL,109,3,4
Channeling,AKL,109,3,5
Channeling,AKL,109,6,1
Channeling,AKL,109,6,2
Channeling,AKL,109,6,3
Channeling,AKL,109,6,4
Channeling,AKL,109,6,5
Channeling,AKL,109,9,1
Channeling,AKL,109,9,2
Channeling,AKL,109,9,3
Channeling,AKL,109,9,4
Channeling,AKL,109,9,5
Channeling,APL,115,3,1
Channeling,APL,115,3,2
Channeling,APL,115,3,3
Channeling,APL,115,3,4
Channeling,APL,115,3,5
Channeling,APL,115,6,1
Channeling,APL,115,6,2
Channeling,APL,115,6,3
Channeling,APL,115,6,4
Channeling,APL,115,6,5
Channeling,APL,C01,3,1
Channeling,APL,C01,3,2
Channeling,APL,C01,3,3
Channeling,APL,C01,3,4
Channeling,APL,C01,3,5
Channeling,APL,C01,6,1
Channeling,APL,C01,6,2
Channeling,APL,C01,6,3
Channeling,APL,C01,6,4
Channeling,APL,C01,6,5
Channeling,EAL,110,2,1
Channeling,EAL,110,2,2
Channeling,EAL,110,2,3
Channeling,EAL,110,2,4
Channeling,EAL,110,2,5
Channeling,EAL,110,4,1
Channeling,EAL,110,4,2
Channeling,EAL,110,4,3
Channeling,EAL,110,4,4
Channeling,EAL,110,4,5
Channeling,EAL,110,6,1
Channeling,EAL,110,6,2
Channeling,EAL,110,6,3
Channeling,EAL,110,6,4
Channeling,EAL,110,6,5
Channeling,EAL,110,9,1
Channeling,EAL,110,9,2
Channeling,EAL,110,9,3
Channeling,EAL,110,9,4
Channeling,EAL,110,9,5
Channeling,RCL,108,1,1
Channeling,RCL,108,1,2
Channeling,RCL,108,1,3
Channeling,RCL,108,1,4
Channeling,RCL,108,1,5
Channeling,RCL,108,2,1
Channeling,RCL,108,2,2
Channeling,RCL,108,2,3
Channeling,RCL,108,2,4
Channeling,RCL,108,2,5
Channeling,RCL,108,3,1
Channeling,RCL,108,3,2
Channeling,RCL,108,3,3
Channeling,RCL,108,3,4
Channeling,RCL,108,3,5
Channeling,RCL,108,4,1
Channeling,RCL,108,4,2
Channeling,RCL,108,4,3
Channeling,RCL,108,4,4
Channeling,RCL,108,4,5
DDL,PYL,111,3,1
DDL,PYL,111,3,2
DDL,PYL,111,3,3
DDL,PYL,111,3,4
DDL,PYL,111,3,5
DDL,PYL,111,6,1
DDL,PYL,111,6,2
DDL,PYL,111,6,3
DDL,PYL,111,6,4
DDL,PYL,111,6,5
DDL,PYL,111,12,1
DDL,PYL,111,12,2
DDL,PYL,111,12,3
DDL,PYL,111,12,4
DDL,PYL,111,12,5
DDL,PYL,111,18,1
DDL,PYL,111,18,2
DDL,PYL,111,18,3
DDL,PYL,111,18,4
DDL,PYL,111,18,5
DDL,PYL,111,24,1
DDL,PYL,111,24,2
DDL,PYL,111,24,3
DDL,PYL,111,24,4
DDL,PYL,111,24,5
DDL,SME,M05,24,1
DDL,SME,M05,24,2
DDL,SME,M05,24,3
DDL,SME,M05,24,4
DDL,SME,M05,24,5
DDL,SCF,SC1,32,1
DDL,SCF,SC1,32,2
DDL,SCF,SC1,32,3
DDL,SCF,SC1,32,4
DDL,SCF,SC1,32,5
DDL,SCF,SC2,32,1
DDL,SCF,SC2,32,2
DDL,SCF,SC2,32,3
DDL,SCF,SC2,32,4
DDL,SCF,SC2,32,5
DDL,UDL,112,3,1
DDL,UDL,112,3,2
DDL,UDL,112,3,3
DDL,UDL,112,3,4
DDL,UDL,112,3,5
DDL,UDL,112,6,1
DDL,UDL,112,6,2
DDL,UDL,112,6,3
DDL,UDL,112,6,4
DDL,UDL,112,6,5
DDL,UDL,112,12,1
DDL,UDL,112,12,2
DDL,UDL,112,12,3
DDL,UDL,112,12,4
DDL,UDL,112,12,5
